Date,Confirmed
2020-04-01,649
2020-04-02,735
2020-04-03,875
2020-04-04,982
2020-04-05,1111
2020-04-06,1230
2020-04-07,1359
2020-04-08,1521
2020-04-09,1693
2020-04-10,1889
2020-04-11,2053
2020-04-12,2164
2020-04-13,2285
2020-04-14,2354
2020-04-15,2475
2020-04-16,2544
2020-04-17,2684
2020-04-18,2781
2020-04-19,2913
2020-04-20,3040
2020-04-21,3154
2020-04-22,3294
2020-04-23,3395
2020-04-24,3525
2020-04-25,3627
2020-04-26,3733
2020-04-27,3817
2020-04-28,4043
2020-04-29,4177
2020-04-30,4307
2020-05-01,4406
2020-05-02,4487
2020-05-03,4552
2020-05-04,4645
2020-05-05,4687
2020-05-06,4827
2020-05-07,4915
2020-05-08,5037
2020-05-09,5116
2020-05-10,5260
2020-05-11,5292
2020-05-12,5442
2020-05-13,5513
2020-05-14,5583
2020-05-15,5697
2020-05-16,5797
2020-05-17,5872
2020-05-18,6012
2020-05-19,6063
2020-05-20,6154
2020-05-21,6268
2020-05-22,6366
2020-05-23,6464
2020-05-24,6525
2020-05-25,6576
2020-05-26,6598
2020-05-27,6738
2020-05-28,6811
2020-05-29,6906
2020-05-30,7006
2020-05-31,7061
