Date,Confirmed
2020-03-31,245
2020-04-01,312
2020-04-02,378
2020-04-03,466
2020-04-04,588
2020-04-05,636
2020-04-06,716
2020-04-07,774
2020-04-08,857
2020-04-09,949
2020-04-10,994
2020-04-11,1039
2020-04-12,1082
2020-04-13,1130
2020-04-14,1176
2020-04-15,1251
2020-04-16,1296
2020-04-17,1335
2020-04-18,1396
2020-04-19,1441
2020-04-20,1469
2020-04-21,1544
2020-04-22,1591
2020-04-23,1656
2020-04-24,1716
2020-04-25,1780
2020-04-26,1813
2020-04-27,1834
2020-04-28,1970
2020-04-29,2008
2020-04-30,2050
2020-05-01,2103
2020-05-02,2182
2020-05-03,2214
2020-05-04,2240
2020-05-05,2279
2020-05-06,2313
2020-05-07,2355
2020-05-08,2390
2020-05-09,2429
2020-05-10,2453
2020-05-11,2465
2020-05-12,2499
2020-05-13,2518
2020-05-14,2566
2020-05-15,2600
2020-05-16,2659
2020-05-17,2703
2020-05-18,2727
2020-05-19,2758
2020-05-20,2779
2020-05-21,2814
2020-05-22,2842
2020-05-23,2866
2020-05-24,2911
2020-05-25,2920
2020-05-26,2933
2020-05-27,2958
2020-05-28,3022
2020-05-29,3045
2020-05-30,3062
2020-05-31,3083
