Date,Confirmed
2020-04-01,1675
2020-04-02,2100
2020-04-03,2430
2020-04-04,3008
2020-04-05,3189
2020-04-06,3728
2020-04-07,4272
2020-04-08,4777
2020-04-09,5029
2020-04-10,5521
2020-04-11,6022
2020-04-12,6386
2020-04-13,6813
2020-04-14,7130
2020-04-15,7441
2020-04-16,8045
2020-04-17,8563
2020-04-18,9014
2020-04-19,9214
2020-04-20,9553
2020-04-21,10028
2020-04-22,10028
2020-04-23,11226
2020-04-24,11877
2020-04-25,11877
2020-04-26,12566
2020-04-27,12868
2020-04-28,13445
2020-04-29,13803
2020-04-30,14468
2020-05-01,15137
2020-05-02,15137
2020-05-03,15137
2020-05-04,16040
2020-05-05,16410
2020-05-06,16697
2020-05-07,17047
2020-05-08,17517
2020-05-09,17881
2020-05-10,18211
2020-05-11,18313
2020-05-12,18537
2020-05-13,18779
2020-05-14,19093
2020-05-15,19349
2020-05-16,19606
2020-05-17,19606
2020-05-18,19953
2020-05-19,20132
2020-05-20,20359
2020-05-21,20700
2020-05-22,21009
2020-05-23,21234
2020-05-24,21234
2020-05-25,21234
2020-05-26,21738
2020-05-27,21975
2020-05-28,22150
2020-05-29,22405
2020-05-30,22629
2020-05-31,22629
