Date,Confirmed
2020-04-01,403
2020-04-02,473
2020-04-03,563
2020-04-04,653
2020-04-05,785
2020-04-06,916
2020-04-07,1020
2020-04-08,1310
2020-04-09,1476
2020-04-10,1716
2020-04-11,1923
2020-04-12,2035
2020-04-13,2205
2020-04-14,2356
2020-04-15,2516
2020-04-16,2722
2020-04-17,2966
2020-04-18,3160
2020-04-19,3345
2020-04-20,3583
2020-04-21,3734
2020-04-22,3875
2020-04-23,4141
2020-04-24,4403
2020-04-25,4795
2020-04-26,4987
2020-04-27,5263
2020-04-28,5496
2020-04-29,5738
2020-04-30,6043
2020-05-01,6735
2020-05-02,7041
2020-05-03,7333
2020-05-04,7598
2020-05-05,7831
2020-05-06,8135
2020-05-07,8516
2020-05-08,8901
2020-05-09,9205
2020-05-10,9496
2020-05-11,9687
2020-05-12,9892
2020-05-13,10072
2020-05-14,10449
2020-05-15,10791
2020-05-16,11031
2020-05-17,11316
2020-05-18,11608
2020-05-19,12240
2020-05-20,12446
2020-05-21,12830
2020-05-22,13077
2020-05-23,13324
2020-05-24,13521
2020-05-25,13726
2020-05-26,13819
2020-05-27,14100
2020-05-28,14508
2020-05-29,14773
2020-05-30,15022
2020-05-31,15220
