Date,Confirmed
2020-04-01,301
2020-04-02,418
2020-04-03,418
2020-04-04,418
2020-04-05,491
2020-04-06,538
2020-04-07,622
2020-04-08,832
2020-04-09,832
2020-04-10,955
2020-04-11,1278
2020-04-12,1278
2020-04-13,1278
2020-04-14,1278
2020-04-15,1957
2020-04-16,2072
2020-04-17,2703
2020-04-18,2703
2020-04-19,3014
2020-04-20,3491
2020-04-21,3727
2020-04-22,4064
2020-04-23,4350
2020-04-24,4603
2020-04-25,4916
2020-04-26,5266
2020-04-27,5427
2020-04-28,5520
2020-04-29,5967
2020-04-30,6290
2020-05-01,6579
2020-05-02,6822
2020-05-03,7028
2020-05-04,7138
2020-05-05,7138
2020-05-06,7138
2020-05-07,7138
2020-05-08,7138
2020-05-09,7138
2020-05-10,7138
2020-05-11,8674
2020-05-12,8798
2020-05-13,9112
2020-05-14,9112
2020-05-15,9112
2020-05-16,9112
2020-05-17,9112
2020-05-18,9112
2020-05-19,9112
2020-05-20,9976
2020-05-21,10160
2020-05-22,10320
2020-05-23,10519
2020-05-24,10607
2020-05-25,10607
2020-05-26,10607
2020-05-27,10874
2020-05-28,10968
2020-05-29,11052
2020-05-30,11052
2020-05-31,11052
