Date,Confirmed
2020-04-01,3321
2020-04-02,3751
2020-04-03,4289
2020-04-04,4872
2020-04-05,5326
2020-04-06,5703
2020-04-07,5990
2020-04-08,6413
2020-04-09,6665
2020-04-10,7122
2020-04-11,7477
2020-04-12,7721
2020-04-13,7965
2020-04-14,8335
2020-04-15,8474
2020-04-16,8752
2020-04-17,8987
2020-04-18,9171
2020-04-19,9364
2020-04-20,9457
2020-04-21,9568
2020-04-22,9699
2020-04-23,9828
2020-04-24,10091
2020-04-25,11091
2020-04-26,11256
2020-04-27,11366
2020-04-28,11453
2020-04-29,11586
2020-04-30,11708
2020-05-01,11812
2020-05-02,11945
2020-05-03,12025
2020-05-04,12095
2020-05-05,12144
2020-05-06,12204
2020-05-07,12280
2020-05-08,12349
2020-05-09,12400
2020-05-10,12451
2020-05-11,12484
2020-05-12,12504
2020-05-13,12543
2020-05-14,12596
2020-05-15,12637
2020-05-16,12688
2020-05-17,12758
2020-05-18,12777
2020-05-19,12798
2020-05-20,12831
2020-05-21,12877
2020-05-22,12905
2020-05-23,12934
2020-05-24,12963
2020-05-25,12996
2020-05-26,13019
2020-05-27,13047
2020-05-28,13076
2020-05-29,13100
2020-05-30,13128
2020-05-31,13151
