Date,Confirmed
2020-04-01,434
2020-04-02,450
2020-04-03,497
2020-04-04,529
2020-04-05,568
2020-04-06,583
2020-04-07,622
2020-04-08,676
2020-04-09,724
2020-04-10,797
2020-04-11,857
2020-04-12,872
2020-04-13,957
2020-04-14,987
2020-04-15,1013
2020-04-16,1019
2020-04-17,1058
2020-04-18,1137
2020-04-19,1157
2020-04-20,1216
2020-04-21,1231
2020-04-22,1233
2020-04-23,1302
2020-04-24,1340
2020-04-25,1354
2020-04-26,1408
2020-04-27,1424
2020-04-28,1468
2020-04-29,1490
2020-04-30,1499
2020-05-01,1523
2020-05-02,1543
2020-05-03,1602
2020-05-04,1624
2020-05-05,1728
2020-05-06,1754
2020-05-07,1806
2020-05-08,1853
2020-05-09,1891
2020-05-10,1943
2020-05-11,1954
2020-05-12,1977
2020-05-13,1994
2020-05-14,1999
2020-05-15,2026
2020-05-16,2054
2020-05-17,2091
2020-05-18,2131
2020-05-19,2179
2020-05-20,2185
2020-05-21,2198
2020-05-22,2320
2020-05-23,2350
2020-05-24,2367
2020-05-25,2386
2020-05-26,2399
2020-05-27,2408
2020-05-28,2437
2020-05-29,2473
2020-05-30,2532
2020-05-31,2588
