Date,Confirmed
2020-04-01,605
2020-04-02,712
2020-04-03,712
2020-04-04,864
2020-04-05,864
2020-04-06,1033
2020-04-07,1203
2020-04-08,1203
2020-04-09,1302
2020-04-10,1498
2020-04-11,1568
2020-04-12,1633
2020-04-13,1724
2020-04-14,1851
2020-04-15,1851
2020-04-16,2026
2020-04-17,2088
2020-04-18,2163
2020-04-19,2235
2020-04-20,2289
2020-04-21,2349
2020-04-22,2436
2020-04-23,2518
2020-04-24,2653
2020-04-25,2720
2020-04-26,2817
2020-04-27,2898
2020-04-28,2965
2020-04-29,3060
2020-04-30,3136
2020-05-01,3253
2020-05-02,3352
2020-05-03,3433
2020-05-04,3521
2020-05-05,3569
2020-05-06,3648
2020-05-07,3724
2020-05-08,3792
2020-05-09,3864
2020-05-10,3932
2020-05-11,3951
2020-05-12,3986
2020-05-13,4022
2020-05-14,4104
2020-05-15,4172
2020-05-16,4236
2020-05-17,4287
2020-05-18,4324
2020-05-19,4374
2020-05-20,4410
2020-05-21,4472
2020-05-22,4472
2020-05-23,4472
2020-05-24,4479
2020-05-25,4690
2020-05-26,4690
2020-05-27,4832
2020-05-28,4832
2020-05-29,4832
2020-05-30,4914
2020-05-31,4914
