Date,Confirmed
2020-04-01,270
2020-04-02,399
2020-04-03,435
2020-04-04,532
2020-04-05,560
2020-04-06,637
2020-04-07,700
2020-04-08,733
2020-04-09,777
2020-04-10,825
2020-04-11,845
2020-04-12,864
2020-04-13,881
2020-04-14,898
2020-04-15,924
2020-04-16,944
2020-04-17,961
2020-04-18,987
2020-04-19,1011
2020-04-20,1057
2020-04-21,1067
2020-04-22,1079
2020-04-23,1111
2020-04-24,1131
2020-04-25,1138
2020-04-26,1162
2020-04-27,1172
2020-04-28,1184
2020-04-29,1205
2020-04-30,1220
2020-05-01,1270
2020-05-02,1321
2020-05-03,1325
2020-05-04,1341
2020-05-05,1369
2020-05-06,1406
2020-05-07,1415
2020-05-08,1416
2020-05-09,1447
2020-05-10,1452
2020-05-11,1463
2020-05-12,1477
2020-05-13,1492
2020-05-14,1511
2020-05-15,1520
2020-05-16,1528
2020-05-17,1539
2020-05-18,1544
2020-05-19,1559
2020-05-20,1572
2020-05-21,1599
2020-05-22,1609
2020-05-23,1609
2020-05-24,1618
2020-05-25,1665
2020-05-26,1678
2020-05-27,1687
2020-05-28,1703
2020-05-29,1703
2020-05-30,1724
2020-05-31,1749
