Date,Confirmed
2020-04-01,1624
2020-04-02,1896
2020-04-03,2183
2020-04-04,2429
2020-04-05,2658
2020-04-06,2929
2020-04-07,3245
2020-04-08,3600
2020-04-09,4041
2020-04-10,4534
2020-04-11,4926
2020-04-12,5359
2020-04-13,5579
2020-04-14,5872
2020-04-15,6279
2020-04-16,6820
2020-04-17,7272
2020-04-18,7696
2020-04-19,8074
2020-04-20,8074
2020-04-21,8669
2020-04-22,9060
2020-04-23,9739
2020-04-24,10724
2020-04-25,11218
2020-04-26,11543
2020-04-27,11883
2020-04-28,12140
2020-04-29,12539
2020-04-30,12890
2020-05-01,13295
2020-05-02,13606
2020-05-03,13777
2020-05-04,13941
2020-05-05,14173
2020-05-06,14476
2020-05-07,14732
2020-05-08,14944
2020-05-09,15119
2020-05-10,15279
2020-05-11,15356
2020-05-12,15454
2020-05-13,15587
2020-05-14,15881
2020-05-15,15996
2020-05-16,16346
2020-05-17,16479
2020-05-18,16671
2020-05-19,16825
2020-05-20,16962
2020-05-21,17089
2020-05-22,17180
2020-05-23,17291
2020-05-24,17417
2020-05-25,17480
2020-05-26,17533
2020-05-27,17596
2020-05-28,17698
2020-05-29,17786
2020-05-30,17873
2020-05-31,17936
