Date,Confirmed
2020-03-31,541
2020-04-01,673
2020-04-02,785
2020-04-03,685
2020-04-04,741
2020-04-05,801
2020-04-06,819
2020-04-07,888
2020-04-08,946
2020-04-09,1004
2020-04-10,1048
2020-04-11,1111
2020-04-12,1349
2020-04-13,1207
2020-04-14,1237
2020-04-15,1237
2020-04-16,1492
2020-04-17,1307
2020-04-18,1465
2020-04-19,1638
2020-04-20,1675
2020-04-21,1719
2020-04-22,1719
2020-04-23,1934
2020-04-24,2011
2020-04-25,2136
2020-04-26,2236
2020-04-27,2338
2020-04-28,2383
2020-04-29,2454
2020-04-30,2612
2020-05-01,2652
2020-05-02,2773
2020-05-03,2904
2020-05-04,2999
2020-05-05,3033
2020-05-06,3128
2020-05-07,3157
2020-05-08,3300
2020-05-09,3358
2020-05-10,3401
2020-05-11,3465
2020-05-12,3580
2020-05-13,3623
2020-05-14,3745
2020-05-15,3795
2020-05-16,3872
2020-05-17,3893
2020-05-18,4066
2020-05-19,4174
2020-05-20,4174
2020-05-21,4292
2020-05-22,4396
2020-05-23,4465
2020-05-24,4518
2020-05-25,4632
2020-05-26,4716
2020-05-27,4826
2020-05-28,4894
2020-05-29,4968
2020-05-30,5040
2020-05-31,5040
