Date,Confirmed
2020-04-01,243
2020-04-02,243
2020-04-03,187
2020-04-04,218
2020-04-05,265
2020-04-06,290
2020-04-07,290
2020-04-08,282
2020-04-09,275
2020-04-10,275
2020-04-11,276
2020-04-12,276
2020-04-13,260
2020-04-14,260
2020-04-15,260
2020-04-16,243
2020-04-17,250
2020-04-18,259
2020-04-19,274
2020-04-20,273
2020-04-21,265
2020-04-22,265
2020-04-23,277
2020-04-24,260
2020-04-25,307
2020-04-26,332
2020-04-27,283
2020-04-28,251
2020-04-29,234
2020-04-30,254
2020-05-01,258
2020-05-02,302
2020-05-03,311
2020-05-04,347
2020-05-05,356
2020-05-06,344
2020-05-07,354
2020-05-08,371
2020-05-09,366
2020-05-10,375
2020-05-11,395
2020-05-12,395
2020-05-13,318
2020-05-14,340
2020-05-15,340
2020-05-16,340
2020-05-17,340
2020-05-18,386
2020-05-19,386
2020-05-20,386
2020-05-21,339
2020-05-22,339
2020-05-23,339
2020-05-24,339
2020-05-25,339
2020-05-26,339
2020-05-27,339
2020-05-28,379
2020-05-29,379
2020-05-30,418
2020-05-31,418
