Date,Confirmed
2020-03-31,428
2020-04-01,496
2020-04-02,638
2020-04-03,640
2020-04-04,689
2020-04-05,736
2020-04-06,766
2020-04-07,835
2020-04-08,912
2020-04-09,1006
2020-04-10,1083
2020-04-11,1147
2020-04-12,1215
2020-04-13,1331
2020-04-14,1359
2020-04-15,1359
2020-04-16,1508
2020-04-17,1492
2020-04-18,1682
2020-04-19,1778
2020-04-20,1839
2020-04-21,1873
2020-04-22,1873
2020-04-23,1953
2020-04-24,2001
2020-04-25,2086
2020-04-26,2296
2020-04-27,2327
2020-04-28,2376
2020-04-29,2432
2020-04-30,2507
2020-05-01,2599
2020-05-02,2672
2020-05-03,2815
2020-05-04,2878
2020-05-05,2901
2020-05-06,3010
2020-05-07,3066
2020-05-08,3108
2020-05-09,3189
2020-05-10,3260
2020-05-11,3372
2020-05-12,3429
2020-05-13,3475
2020-05-14,3542
2020-05-15,3595
2020-05-16,3681
2020-05-17,3726
2020-05-18,3846
2020-05-19,3936
2020-05-20,3936
2020-05-21,4033
2020-05-22,4127
2020-05-23,4225
2020-05-24,4336
2020-05-25,4451
2020-05-26,4516
2020-05-27,4615
2020-05-28,4718
2020-05-29,4823
2020-05-30,4943
2020-05-31,4943
