Date,Confirmed
2020-03-31,631
2020-04-01,731
2020-04-02,831
2020-04-03,921
2020-04-04,1105
2020-04-05,1112
2020-04-06,1155
2020-04-07,1261
2020-04-08,1324
2020-04-09,1432
2020-04-10,1537
2020-04-11,1644
2020-04-12,1723
2020-04-13,1788
2020-04-14,1877
2020-04-15,1986
2020-04-16,2066
2020-04-17,2190
2020-04-18,2324
2020-04-19,2428
2020-04-20,2512
2020-04-21,2512
2020-04-22,2683
2020-04-23,2763
2020-04-24,2834
2020-04-25,2909
2020-04-26,3014
2020-04-27,3014
2020-04-28,3240
2020-04-29,3240
2020-04-30,3531
2020-05-01,3718
2020-05-02,3899
2020-05-03,4133
2020-05-04,4370
2020-05-05,4623
2020-05-06,4869
2020-05-07,5120
2020-05-08,5369
2020-05-09,5619
2020-05-10,5870
2020-05-11,6123
2020-05-12,6123
2020-05-13,6602
2020-05-14,6837
2020-05-15,7036
2020-05-16,7250
2020-05-17,7455
2020-05-18,7679
2020-05-19,7904
2020-05-20,7904
2020-05-21,8273
2020-05-22,8477
2020-05-23,8649
2020-05-24,8827
2020-05-25,8998
2020-05-26,9188
2020-05-27,9385
2020-05-28,9587
2020-05-29,9787
2020-05-30,9787
2020-05-31,10234
