Date,Confirmed
2020-04-01,288
2020-04-02,325
2020-04-03,383
2020-04-04,404
2020-04-05,418
2020-04-06,452
2020-04-07,517
2020-04-08,588
2020-04-09,637
2020-04-10,705
2020-04-11,705
2020-04-12,787
2020-04-13,876
2020-04-14,929
2020-04-15,990
2020-04-16,1093
2020-04-17,1175
2020-04-18,1229
2020-04-19,1229
2020-04-20,1242
2020-04-21,1333
2020-04-22,1333
2020-04-23,1559
2020-04-24,1706
2020-04-25,1836
2020-04-26,1947
2020-04-27,1947
2020-04-28,2019
2020-04-29,2088
2020-04-30,2246
2020-05-01,2246
2020-05-02,2388
2020-05-03,2503
2020-05-04,2584
2020-05-05,2624
2020-05-06,2686
2020-05-07,2956
2020-05-08,2956
2020-05-09,3127
2020-05-10,3210
2020-05-11,3695
2020-05-12,3745
2020-05-13,3810
2020-05-14,4076
2020-05-15,4211
2020-05-16,4266
2020-05-17,4350
2020-05-18,4447
2020-05-19,4559
2020-05-20,4643
2020-05-21,4711
2020-05-22,4711
2020-05-23,4899
2020-05-24,4951
2020-05-25,4977
2020-05-26,4977
2020-05-27,5039
2020-05-28,5190
2020-05-29,5190
2020-05-30,5379
2020-05-31,5463
