Date,Confirmed
2020-04-01,244
2020-04-02,351
2020-04-03,351
2020-04-04,430
2020-04-05,484
2020-04-06,502
2020-04-07,502
2020-04-08,554
2020-04-09,597
2020-04-10,642
2020-04-11,690
2020-04-12,744
2020-04-13,774
2020-04-14,856
2020-04-15,900
2020-04-16,977
2020-04-17,1074
2020-04-18,1074
2020-04-19,1092
2020-04-20,1108
2020-04-21,1174
2020-04-22,1233
2020-04-23,1312
2020-04-24,1379
2020-04-25,1379
2020-04-26,1396
2020-04-27,1412
2020-04-28,1464
2020-04-29,1539
2020-04-30,1654
2020-05-01,1683
2020-05-02,1714
2020-05-03,1756
2020-05-04,1816
2020-05-05,1876
2020-05-06,1946
2020-05-07,2002
2020-05-08,2071
2020-05-09,2095
2020-05-10,2127
2020-05-11,2171
2020-05-12,2235
2020-05-13,2288
2020-05-14,2345
2020-05-15,2381
2020-05-16,2425
2020-05-17,2425
2020-05-18,2459
2020-05-19,2537
2020-05-20,2595
2020-05-21,2644
2020-05-22,2644
2020-05-23,2761
2020-05-24,2788
2020-05-25,2847
2020-05-26,2933
2020-05-27,2984
2020-05-28,3057
2020-05-29,3057
2020-05-30,3186
2020-05-31,3232
