Date,Confirmed
2020-03-31,396
2020-04-01,396
2020-04-02,476
2020-04-03,541
2020-04-04,650
2020-04-05,741
2020-04-06,777
2020-04-07,807
2020-04-08,858
2020-04-09,858
2020-04-10,1011
2020-04-11,1071
2020-04-12,1126
2020-04-13,1157
2020-04-14,1187
2020-04-15,1285
2020-04-16,1377
2020-04-17,1456
2020-04-18,1547
2020-04-19,1615
2020-04-20,1671
2020-04-21,1714
2020-04-22,1795
2020-04-23,1889
2020-04-24,1975
2020-04-25,2051
2020-04-26,2144
2020-04-27,2190
2020-04-28,2256
2020-04-29,2348
2020-04-30,2438
2020-05-01,2526
2020-05-02,2609
2020-05-03,2707
2020-05-04,2769
2020-05-05,2832
2020-05-06,2912
2020-05-07,3010
2020-05-08,3104
2020-05-09,3206
2020-05-10,3291
2020-05-11,3365
2020-05-12,3414
2020-05-13,3530
2020-05-14,3604
2020-05-15,3709
2020-05-16,3785
2020-05-17,3883
2020-05-18,3942
2020-05-19,4019
2020-05-20,4123
2020-05-21,4217
2020-05-22,4308
2020-05-23,4441
2020-05-24,4515
2020-05-25,4583
2020-05-26,4632
2020-05-27,4682
2020-05-28,4806
2020-05-29,4994
2020-05-30,5118
2020-05-31,5242
