Date,Confirmed
2020-04-01,377
2020-04-02,498
2020-04-03,571
2020-04-04,620
2020-04-05,688
2020-04-06,717
2020-04-07,760
2020-04-08,795
2020-04-09,838
2020-04-10,875
2020-04-11,922
2020-04-12,931
2020-04-13,969
2020-04-14,969
2020-04-15,1000
2020-04-16,1022
2020-04-17,1086
2020-04-18,1086
2020-04-19,1143
2020-04-20,1188
2020-04-21,1219
2020-04-22,1236
2020-04-23,1192
2020-04-24,1212
2020-04-25,1235
2020-04-26,1244
2020-04-27,1263
2020-04-28,1293
2020-04-29,1306
2020-04-30,1322
2020-05-01,1339
2020-05-02,1376
2020-05-03,1393
2020-05-04,1414
2020-05-05,1433
2020-05-06,1454
2020-05-07,1496
2020-05-08,1510
2020-05-09,1539
2020-05-10,1562
2020-05-11,1582
2020-05-12,1593
2020-05-13,1604
2020-05-14,1626
2020-05-15,1636
2020-05-16,1654
2020-05-17,1680
2020-05-18,1687
2020-05-19,1704
2020-05-20,1716
2020-05-21,1719
2020-05-22,1728
2020-05-23,1728
2020-05-24,1756
2020-05-25,1762
2020-05-26,1766
2020-05-27,1856
2020-05-28,1884
2020-05-29,1909
2020-05-30,1922
2020-05-31,1937
