Date,Confirmed
2020-03-31,1229
2020-04-01,1304
2020-04-02,1376
2020-04-03,1376
2020-04-04,1503
2020-04-05,1559
2020-04-06,1603
2020-04-07,1659
2020-04-08,1695
2020-04-09,1745
2020-04-10,1802
2020-04-11,1835
2020-04-12,1867
2020-04-13,1907
2020-04-14,1950
2020-04-15,1988
2020-04-16,2032
2020-04-17,2056
2020-04-18,2093
2020-04-19,2143
2020-04-20,2163
2020-04-21,2189
2020-04-22,2209
2020-04-23,2216
2020-04-24,2243
2020-04-25,2297
2020-04-26,2311
2020-04-27,2332
2020-04-28,2365
2020-04-29,2389
2020-04-30,2433
2020-05-01,2453
2020-05-02,2493
2020-05-03,2509
2020-05-04,2537
2020-05-05,2549
2020-05-06,2584
2020-05-07,2627
2020-05-08,2634
2020-05-09,2664
2020-05-10,2681
2020-05-11,2690
2020-05-12,2711
2020-05-13,2720
2020-05-14,2739
2020-05-15,2756
2020-05-16,2773
2020-05-17,2784
2020-05-18,2797
2020-05-19,2818
2020-05-20,2826
2020-05-21,2846
2020-05-22,2863
2020-05-23,2863
2020-05-24,2895
2020-05-25,2904
2020-05-26,2916
2020-05-27,2927
2020-05-28,2937
2020-05-29,2945
2020-05-30,2956
2020-05-31,2967
