,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,8899,2020-04-01,11,59,17,1009,3
1,8899,2020-04-02,11,54,26,1007,2
2,8899,2020-04-03,11,71,23,1006,3
3,8899,2020-04-04,13,68,13,1016,3
4,8899,2020-04-05,15,71,7,1018,3
5,8899,2020-04-06,17,48,10,1017,4
6,8899,2020-04-07,18,49,7,1012,5
7,8899,2020-04-08,18,74,9,1001,4
8,8899,2020-04-09,16,59,24,995,3
9,8899,2020-04-10,10,49,32,998,2
10,8899,2020-04-11,12,43,20,1014,3
11,8899,2020-04-12,20,53,13,1020,4
12,8899,2020-04-13,22,76,36,1007,4
13,8899,2020-04-14,14,47,13,1018,3
14,8899,2020-04-15,11,41,16,1015,3
15,8899,2020-04-16,9,40,23,1019,3
16,8899,2020-04-17,10,47,14,1022,2
17,8899,2020-04-18,9,75,14,1008,2
18,8899,2020-04-19,15,52,18,1012,4
19,8899,2020-04-20,13,54,12,1005,3
20,8899,2020-04-21,15,58,26,1003,3
21,8899,2020-04-22,10,36,24,1012,3
22,8899,2020-04-23,10,50,9,1017,2
23,8899,2020-04-24,8,88,17,1008,2
24,8899,2020-04-25,15,65,9,1017,4
25,8899,2020-04-26,10,86,21,1010,2
26,8899,2020-04-27,8,78,16,1013,2
27,8899,2020-04-28,17,55,9,1020,4
28,8899,2020-04-29,12,74,17,1022,3
29,8899,2020-04-30,16,86,31,1014,4
30,8899,2020-05-01,17,77,12,1006,4
31,8899,2020-05-02,21,51,16,1014,5
32,8899,2020-05-03,23,62,15,1008,6
33,8899,2020-05-04,17,50,20,1007,4
34,8899,2020-05-05,16,42,13,1013,4
35,8899,2020-05-06,12,63,13,1009,3
36,8899,2020-05-07,17,48,16,1009,4
37,8899,2020-05-08,14,61,13,1008,3
38,8899,2020-05-09,9,42,30,1012,2
39,8899,2020-05-10,16,45,21,1018,4
40,8899,2020-05-11,15,62,22,1012,3
41,8899,2020-05-12,14,44,20,1018,4
42,8899,2020-05-13,16,37,14,1026,4
43,8899,2020-05-14,18,52,10,1025,4
44,8899,2020-05-15,26,70,22,1014,5
45,8899,2020-05-16,25,60,10,1017,6
46,8899,2020-05-17,25,75,16,1016,4
47,8899,2020-05-18,16,64,21,1020,5
48,8899,2020-05-19,17,50,29,1023,5
49,8899,2020-05-20,14,53,24,1029,3
50,8899,2020-05-21,16,65,11,1028,4
51,8899,2020-05-22,21,79,7,1021,4
52,8899,2020-05-23,19,91,8,1017,4
53,8899,2020-05-24,17,68,16,1023,4
54,8899,2020-05-25,19,81,10,1023,4
55,8899,2020-05-26,22,78,8,1023,6
56,8899,2020-05-27,23,76,10,1023,6
57,8899,2020-05-28,22,87,13,1021,5
58,8899,2020-05-29,26,82,15,1015,5
59,8899,2020-05-30,27,56,14,1012,6
60,8899,2020-05-31,20,42,20,1018,5
