state,county,date_local,PM2.5,O3,SO2,NO2,PM10,CO,tempC,humidity,windspeedKmph,pressure,uvIndex,Confirmed,New Cases,
AL,Jefferson,4/1/2020,6.0066666,0.031009458,1.1029055,6.441762,,0.148052808,17.20192308,63.56730769,12.125,1016,4,292,,0
AL,Jefferson,4/2/2020,7.5083334,0.027788625,1.4296875,11.0270835,,0.215591333,21.875,56.95192308,7.528846154,1018.980769,4.586538462,314,22,0.070063694
AL,Jefferson,4/3/2020,11.59848485,0.028906542,2.0859375,16.972011,,0.323188333,25.30769231,53.33653846,4.298076923,1017,5.538461538,351,37,0.105413105
AL,Jefferson,4/4/2020,12.8075,0.033610875,1.6609375,9.4154765,,0.223169167,25.35576923,55.66346154,6.211538462,1015,5.990384615,373,22,0.058981233
AL,Jefferson,4/5/2020,14.7041666,0.033763042,1.5916665,11.0311595,,0.2191945,27,59.32692308,4.913461538,1017,6,416,43,0.103365385
AL,Jefferson,4/6/2020,17.88472222,0.0352925,1.415909,14.981423,,0.310038833,27.54807692,64.16346154,6.625,1018,6,423,7,0.016548463
AL,Jefferson,4/7/2020,16.515,0.025616917,0.91212775,13.143996,,0.213831,22.58653846,82.33653846,8.230769231,1016,4,457,34,0.074398249
AL,Jefferson,4/8/2020,13.2147826,0.019416542,0.741220125,7.3035085,,0.1807345,24,90.96153846,10.32692308,1010,5,479,22,0.045929019
AL,Jefferson,4/9/2020,6.389772727,0.037800542,0.7375,5.0113225,,0.138809333,23.27884615,66.16346154,13.60576923,1009.692308,5.980769231,507,28,0.055226824
AL,Jefferson,4/10/2020,6.8116666,0.033156,0.7484375,6.079902,,0.155675,15.32692308,45.11538462,13.10576923,1017,4,536,29,0.054104478
AL,Jefferson,4/11/2020,13.2125,0.035955042,1.89375,10.233036,,0.2828875,21.66346154,48.56730769,8.509615385,1017.134615,4.990384615,579,43,0.074265976
AL,Jefferson,4/12/2020,14.43379633,0.032081958,1.11666675,4.2810685,,0.172978333,20.67307692,81.34615385,17.875,1008.980769,3.836538462,597,18,0.030150754
AL,Jefferson,4/13/2020,4.8041666,0.029644435,0.635788625,4.060766,,0.1127935,17.625,74.38461538,14.79807692,1013.067308,3.961538462,612,15,0.024509804
AL,Jefferson,4/14/2020,5.9166666,0.037226542,0.63642375,2.2503965,,0.14965,17.31730769,64.27884615,11.79807692,1018.673077,4,620,8,0.012903226
AL,Jefferson,4/15/2020,5.926893939,0.034089292,0.792094,7.4930945,,0.1418155,15.31730769,47.47115385,13.21153846,1020.028846,4,625,5,0.008
AL,Jefferson,4/16/2020,15.9175,0.031664875,1.77916675,16.551812,,0.31145825,19.875,48.82692308,7.846153846,1024,4.586538462,634,9,0.014195584
AL,Jefferson,4/17/2020,12.8025,0.03884725,1.14947925,8.6055555,,0.231798,22.58653846,59.88461538,12.44230769,1020,4.346153846,651,17,0.026113671
AL,Jefferson,4/18/2020,6.949537,0.026374333,0.92291675,4.921131,,0.17027,20.92307692,62.33653846,11.17307692,1016.028846,4.990384615,671,20,0.029806259
AL,Jefferson,4/19/2020,7.3008334,0.022332708,1.06354175,9.122464,,0.214559167,20.88461538,85.65384615,5.384615385,1009.653846,3.865384615,682,11,0.016129032
AL,Jefferson,4/20/2020,5.4025,0.029481917,0.775838625,9.3675,,0.216995,22.28846154,69.68269231,9.576923077,1008.019231,5,688,6,0.00872093
AL,Jefferson,4/21/2020,6.925883848,0.028901083,0.969047625,10.1929605,,0.283227333,23.85576923,63.61538462,9.663461538,1015,5,698,10,0.014326648
AL,Jefferson,4/22/2020,10.5183334,0.027792292,1.5534155,14.4777415,,0.263936833,20.25961538,60.71153846,10.41346154,1017.682692,4.557692308,726,28,0.038567493
AL,Jefferson,4/23/2020,7.815,0.031332833,0.8302085,5.764583,,0.160298667,20.03846154,88.73076923,16.46153846,1006.961538,4,778,52,0.066838046
AL,Jefferson,4/24/2020,4.948148111,0.0270085,0.803125,6.65625,,0.1850625,24.18269231,74.90384615,7.605769231,1010,4.326923077,797,19,0.023839398
AL,Jefferson,4/25/2020,5.8116666,0.037293417,0.897396,6.381703,,0.208893667,24.99038462,69.84615385,16.25,1010.442308,5.413461538,797,0,0
AL,Jefferson,4/26/2020,3.5166666,0.037493083,0.5609375,2.247917,,0.1080695,20.03846154,61.13461538,17.45192308,1019,4.990384615,839,42,0.050059595
AL,Jefferson,4/27/2020,6.425126273,0.027653333,1.162736375,13.251656,,0.222914,23,52.29807692,5.5,1023,5,839,0,0
AL,Jefferson,4/28/2020,13.4016666,0.040116417,1.833258875,11.2714285,,0.30152,25.57692308,52.00961538,10.11538462,1019,5.990384615,861,22,0.025551684
AL,Jefferson,4/29/2020,6.6133334,0.037413,0.857565875,7.203595,,0.125362667,18.61538462,85.44230769,15.45192308,1010,4,880,19,0.021590909
AL,Jefferson,4/30/2020,3.597222222,0.036481917,0.68944125,5.825,,0.132172333,20.31730769,66.75,14.08653846,1012.990385,4.528846154,886,6,0.006772009
AL,Jefferson,5/1/2020,,,,,,0.166666667,24.875,61.47115385,5.942307692,1018,5.990384615,929,43,0.046286329
AL,Jefferson,5/2/2020,,,,,,,27.51923077,61.79807692,7.576923077,1020,6,946,17,0.017970402
AL,Jefferson,5/3/2020,,,,,,,28.55769231,63.45192308,10.90384615,1017,6,969,23,0.02373581
AL,Jefferson,5/4/2020,,,,,,,29.29807692,70.06730769,8.413461538,1014,5.961538462,992,23,0.023185484
AL,Jefferson,5/5/2020,,,,,,,28.21153846,76.41346154,14.14423077,1012,5,1020,28,0.02745098
AL,Jefferson,5/6/2020,,,,,,,21.14423077,60.72115385,15.90384615,1017,4.971153846,1048,28,0.026717557
AL,Jefferson,5/7/2020,,,,,,,21.88461538,52.48076923,6.644230769,1021,5,1065,17,0.015962441
AL,Jefferson,5/8/2020,,,,,,,15.5,76,11.38461538,1014.980769,3,1094,29,0.026508227
AL,Jefferson,5/9/2020,,,,,,,19.10576923,55.63461538,10.92307692,1023,4,1109,15,0.013525699
AL,Jefferson,5/10/2020,,,,,,,22.84615385,49.30769231,6.528846154,1022.692308,5,1121,12,0.010704728
AL,Jefferson,5/11/2020,,,,,,,19.85576923,54.21153846,10.63461538,1023,4.990384615,1131,10,0.008841733
AL,Jefferson,5/12/2020,,,,,,,25.71153846,52.90384615,6.028846154,1023.009615,5,1153,22,0.019080659
AL,Jefferson,5/13/2020,,,,,,,27.61538462,56.52884615,9.365384615,1021.980769,6,1199,46,0.038365304
AL,Jefferson,5/14/2020,,,,,,,28.54807692,59.93269231,13.10576923,1020.144231,5.307692308,1237,38,0.030719483
AL,Jefferson,5/15/2020,,,,,,,28.73076923,62.59615385,12.10576923,1018,6,1258,21,0.016693164
AL,Jefferson,5/16/2020,,,,,,,30.56730769,58.51923077,10.09615385,1015.980769,6.990384615,1299,41,0.031562741
AL,Jefferson,5/17/2020,,,,,,,31.27884615,62.89423077,7.576923077,1015.115385,7,1333,34,0.025506377
AL,Jefferson,5/18/2020,,,,,,,27.21153846,82.56730769,12.03846154,1008,5,1355,22,0.016236162
AL,Jefferson,5/19/2020,,,,,,,22.51923077,72.28846154,8.817307692,1009,4,1367,12,0.008778347
AL,Jefferson,5/20/2020,,,,,,,25.98076923,64.88461538,6.548076923,1011,5.990384615,1433,66,0.046057223
AL,Jefferson,5/21/2020,,,,,,,28,66.82692308,6.846153846,1014.701923,5.413461538,1453,20,0.013764625
AL,Jefferson,5/22/2020,,,,,,,31.39423077,74.93269231,9.836538462,1016,6,1498,45,0.030040053
AL,Jefferson,5/23/2020,,,,,,,30.73076923,77.82692308,8.423076923,1016.961538,6,1573,75,0.047679593
AL,Jefferson,5/24/2020,,,,,,,33.25961538,68.23076923,6.817307692,1016,6.326923077,1614,41,0.025402726
AL,Jefferson,5/25/2020,,,,,,,31.66346154,66.70192308,12.06730769,1014.980769,6.403846154,1630,16,0.009815951
AL,Jefferson,5/26/2020,,,,,,,21.93269231,85.54807692,14.32692308,1014.980769,5,1645,15,0.009118541
AL,Jefferson,5/27/2020,,,,,,,23.90384615,89.23076923,10.44230769,1013.673077,5,1673,28,0.016736402
AL,Jefferson,5/28/2020,,,,,,,30.51923077,71.08653846,9.115384615,1014,6.019230769,1712,39,0.022780374
AL,Jefferson,5/29/2020,,,,,,,30.83653846,67.06730769,5.528846154,1016,5.990384615,1744,32,0.018348624
AL,Jefferson,5/30/2020,,,,,,,28.28846154,64.13461538,9.596153846,1017.576923,6.855769231,1780,36,0.020224719
AL,Jefferson,5/31/2020,,,,,,,28.82692308,62.39423077,10.92307692,1019,6.259615385,1837,57,0.031028851
AZ,Maricopa,4/1/2020,7.120159139,0.035073349,0.741958109,15.59313687,11,0.392278437,27.7902439,23.19512195,10.09756098,1008.819512,5.517073171,871,,0
AZ,Maricopa,4/2/2020,4.745721808,0.035383712,0.670848903,12.06465836,3.5,0.339678698,27.06341463,23.89756098,15.9902439,1009.756098,5.956097561,961,90,0.093652445
AZ,Maricopa,4/3/2020,5.658793257,0.035130073,0.689136936,14.33975537,6,0.36639712,26.79512195,25.96585366,9.151219512,1009.902439,5.956097561,1049,88,0.083889418
AZ,Maricopa,4/4/2020,6.065624187,0.038104791,0.655460919,9.168198568,10.33333333,0.331209561,26.66829268,25.27317073,12.73170732,1009.136585,5.956097561,1171,122,0.104184458
AZ,Maricopa,4/5/2020,4.756699057,0.037185121,0.633375852,5.599603397,12,0.2977471,26.68780488,23.25365854,16.25853659,1009.058537,5.951219512,1326,155,0.116892911
AZ,Maricopa,4/6/2020,3.980647714,0.035788677,0.644145517,9.111190073,11,0.296227602,24.56097561,29.0195122,18.17560976,1011.960976,5.751219512,1433,107,0.074668528
AZ,Maricopa,4/7/2020,3.67828994,0.033366679,0.620565739,9.844354934,7.666666667,0.32003841,25.3902439,23.79512195,12.42926829,1015.507317,5.907317073,1495,62,0.041471572
AZ,Maricopa,4/8/2020,4.272876333,0.030706042,0.668534402,9.729087575,13.66666667,0.316349818,24.32682927,32.28292683,18.31707317,1013.97561,5.848780488,1559,64,0.041051956
AZ,Maricopa,4/9/2020,3.251948491,0.037445956,0.615796429,11.96546685,9.333333333,0.30782012,21.32682927,32.68292683,8.151219512,1017,4.96097561,1689,130,0.07696862
AZ,Maricopa,4/10/2020,4.817413623,0.039399988,0.534969483,12.37676022,5.666666667,0.332823679,22.7902439,26.57073171,7.67804878,1013.092683,5.434146341,1741,52,0.029867892
AZ,Maricopa,4/11/2020,3.304296536,0.036336943,0.330820883,5.721688209,5,0.274364959,19.03414634,44.97560976,12.22926829,1012.04878,3.995121951,1891,150,0.079323109
AZ,Maricopa,4/12/2020,2.980053874,0.037781407,0.332282154,4.049601003,4.666666667,0.269005191,23.24878049,42.58536585,12.3902439,1013.634146,4.990243902,1960,69,0.035204082
AZ,Maricopa,4/13/2020,3.916274651,0.035394337,0.327288438,6.761525021,7.666666667,0.283858329,23.22926829,41.90243902,15,1013.887805,5.2,2020,60,0.02970297
AZ,Maricopa,4/14/2020,3.995577073,0.039059705,0.310692041,10.67699788,12,0.317415837,25.00487805,23.35121951,11.59512195,1016.941463,5.756097561,2056,36,0.017509728
